Channel Id,Channel Url,Channel Title
UClg70p6cadQ0KASTai_xTLw,http://www.youtube.com/channel/UClg70p6cadQ0KASTai_xTLw,Heralen
UClksoSSPSm-oozXzDpdl37g,http://www.youtube.com/channel/UClksoSSPSm-oozXzDpdl37g,Swasti-Kam
UCnuWowEuzbjudjJIqAaoemw,http://www.youtube.com/channel/UCnuWowEuzbjudjJIqAaoemw,Quinn Curio
UCojVsOfwIRPbQsb2HzR67NQ,http://www.youtube.com/channel/UCojVsOfwIRPbQsb2HzR67NQ,Redlight Blue
UCr3cBLTYmIK9kY0F_OdFWFQ,http://www.youtube.com/channel/UCr3cBLTYmIK9kY0F_OdFWFQ,Casually Explained
UCsHaCORAuXxrMDzC0hr8GPw,http://www.youtube.com/channel/UCsHaCORAuXxrMDzC0hr8GPw,MxR Plays
UCsvn_Po0SmunchJYOWpOxMg,http://www.youtube.com/channel/UCsvn_Po0SmunchJYOWpOxMg,videogamedunkey
UCtHaxi4GTYDpJgMSGy7AeSw,http://www.youtube.com/channel/UCtHaxi4GTYDpJgMSGy7AeSw,Michael Reeves
UCu5kI2V6dFisrB4uD6_n6zw,http://www.youtube.com/channel/UCu5kI2V6dFisrB4uD6_n6zw,Common Ground Conversations
UCw9k0MX1EPC-r1YvgdW8U2A,http://www.youtube.com/channel/UCw9k0MX1EPC-r1YvgdW8U2A,MxR Plus
UCy9cb7U-Asbhbum0ZXArvfQ,http://www.youtube.com/channel/UCy9cb7U-Asbhbum0ZXArvfQ,Saiman Says
UCyhOl6uRlxryALlT5yifldw,http://www.youtube.com/channel/UCyhOl6uRlxryALlT5yifldw,J.J. McCullough
UCyhnYIvIKK_--PiJXCMKxQQ,http://www.youtube.com/channel/UCyhnYIvIKK_--PiJXCMKxQQ,Joseph Anderson
